Sistema 1	Material	 AP 	 GWP 	 ADP nf	 ADP f	 EP	 ODP	 POCP  	 CED  
Aço	Aço (kg)	9,41E-04	2,49E-01	5,44E-09	2,58E+00	4,73E-04	1,40E-08	1,63E-04	3,12E+00
	Galvanização (m²)	5,10E-03	9,09E-02	1,07E-07	1,15E+00	1,30E-03	1,03E-08	2,13E-05	1,63E+00
Pintura	Tinta (kg)	8,38E-03	1,44E+00	6,50E-07	1,62E+01	2,87E-03	1,09E-07	8,38E-04	2,26E+01
Pintura	Tinta (kg)	8,38E-03	1,44E+00	6,50E-07	1,62E+01	2,87E-03	1,09E-07	8,38E-04	2,26E+01
Alvenaria	Bloco cerâmico (kg)	3,35E-02	1,32E+01	1,37E-07	1,18E+02	8,06E-03	8,23E-07	2,69E-03	1,49E+02
Placa de Gesso (kg)	Gesso (kg)	6,56E-04	1,42E-01	1,56E-09	1,79E+00	1,33E-04	1,21E-08	3,12E-05	2,24E+00
	Placa de Gesso (kg)	1,65E-02	2,42E+00	7,20E-08	2,63E+01	3,92E-03	1,30E-07	7,51E-04	3,99E+01
	Água (kg)	6,51E-06	9,08E-04	4,07E-10	9,56E-03	1,81E-06	7,77E-11	3,95E-07	1,72E-02
TOTAL		1,07E-01	3,20E+01	1,74E-06	2,57E+02	2,85E-02	1,88E-06	6,84E-03	3,31E+02
Sistema 11	Material	 AP 	 GWP 	 ADP nf	 ADP f	 EP	 ODP	 POCP  	 CED  
Argamassa de revestimento	Cimento (kg)	7,01E-03	3,65E+00	7,56E-09	1,51E+01	1,61E-03	1,82E-07	4,63E-04	1,96E+01
	Cal (kg)	1,37E-02	4,79E+00	6,31E-08	3,23E+01	3,97E-03	2,33E-07	5,02E-04	3,78E+01
	Areia (kg)	1,17E-03	1,58E-01	8,08E-10	2,17E+00	2,76E-04	2,68E-08	2,70E-05	2,41E+00
	Água (kg)	5,76E-05	8,03E-03	3,60E-09	8,45E-02	1,60E-05	6,88E-10	3,49E-06	1,52E-01
Argamassa de assentamento	Cimento (kg)	3,54E-03	1,84E+00	3,81E-09	7,62E+00	8,14E-04	9,19E-08	2,34E-04	9,90E+00
	Cal (kg)	7,12E-03	2,48E+00	3,27E-08	1,67E+01	2,06E-03	1,21E-07	2,60E-04	1,96E+01
	Areia (kg)	5,95E-04	7,98E-02	4,09E-10	1,10E+00	1,40E-04	1,36E-08	1,37E-05	1,22E+00
	Água (kg)	2,91E-05	4,06E-03	1,82E-09	4,27E-02	8,09E-06	3,48E-10	1,77E-06	7,67E-02
Aço	Aço (kg)	9,41E-04	2,49E-01	5,44E-09	2,58E+00	4,73E-04	1,40E-08	1,63E-04	3,12E+00
	Galvanização (m²)	5,10E-03	9,09E-02	1,07E-07	1,15E+00	1,30E-03	1,03E-08	2,13E-05	1,63E+00
Pintura	Tinta (kg)	8,38E-03	1,44E+00	6,50E-07	1,62E+01	2,87E-03	1,09E-07	8,38E-04	2,26E+01
Pintura	Tinta (kg)	8,38E-03	1,44E+00	6,50E-07	1,62E+01	2,87E-03	1,09E-07	8,38E-04	2,26E+01
